"id","current_time","CPU[%](µ¥ºË)","battery[%]","temperature[¡æ]","Memory-Vss[MB]","Memory-Rss[MB]","Memory-Pss[MB]","Memory-Uss[MB]"
"1","2022-04-27-21-17-41","16.875","99","32.0","10778.03515625","301.8515625","237.921875","230.5625"
"2","2022-04-27-21-17-41","13.375","98","33.0","10777.78515625","304.265625","240.3359375","232.9765625"
"3","2022-04-27-21-17-41","13.125","96","34.0","10778.03515625","308.40625","244.4140625","237.1171875"
"4","2022-04-27-21-17-41","18.5","96","34.0","10777.80078125","310.33984375","246.3056640625","239.05078125"
"5","2022-04-27-21-17-41","16.125","96","34.0","10773.58203125","289.6484375","225.4326171875","218.16015625"
"6","2022-04-27-21-17-41","12.5","95","35.0","10773.3203125","289.69140625","225.470703125","218.203125"
"7","2022-04-27-21-17-41","15.25","95","35.0","10773.3203125","287.44140625","223.21484375","215.9453125"
"8","2022-04-27-21-17-41","11.025","94","36.0","10773.5703125","290.61328125","226.38671875","219.1171875"
"9","2022-04-27-21-17-41","15.0","94","36.0","10773.3203125","289.66015625","225.39453125","218.1640625"
"10","2022-04-27-21-17-41","15.625","94","37.0","10773.3203125","289.0859375","224.8173828125","217.5859375"
"11","2022-04-27-21-17-41","12.75","94","37.0","10773.69921875","287.8125","223.5439453125","216.3125"
"12","2022-04-27-21-17-41","14.25","93","37.0","10773.44921875","291.64453125","227.375","220.14453125"
"13","2022-04-27-21-17-41","13.875","93","37.0","10791.47265625","290.74609375","226.4345703125","219.234375"
"14","2022-04-27-21-17-41","14.25","92","37.0","","","",""
"15","2022-04-27-21-17-41","0","92","37.0","","","",""
"16","2022-04-27-21-17-41","0","92","37.0","","","",""
"17","2022-04-27-21-17-41","0","92","36.0","","","",""
"18","2022-04-27-21-17-41","0","92","36.0","","","",""
"19","2022-04-27-21-17-41","0","92","36.0","","","",""
"20","2022-04-27-21-17-41","0","93","36.0","","","",""
"21","2022-04-27-21-17-41","0","93","36.0","","","",""
"22","2022-04-27-21-17-41","0","93","35.0","","","",""
"23","2022-04-27-21-17-41","0","93","35.0","","","",""
"24","2022-04-27-21-17-41","0","94","35.0","","","",""
"25","2022-04-27-21-17-41","0","94","35.0","","","",""
"26","2022-04-27-21-17-41","0","94","35.0","","","",""
"27","2022-04-27-21-17-41","0","94","35.0","","","",""
"28","2022-04-27-21-17-41","0","94","35.0","","","",""
"29","2022-04-27-21-17-41","0","94","35.0","","","",""
"30","2022-04-27-21-17-41","0","95","35.0","","","",""
"31","2022-04-27-21-17-41","0","95","35.0","","","",""
"32","2022-04-27-21-17-41","0","95","34.0","","","",""
"33","2022-04-27-21-17-41","0","95","34.0","","","",""
"34","2022-04-27-21-17-41","0","96","34.0","","","",""
"35","2022-04-27-21-17-41","0","96","34.0","","","",""
"36","2022-04-27-21-17-41","0","96","34.0","","","",""
"37","2022-04-27-21-17-41","0","96","34.0","","","",""
"38","2022-04-27-21-17-41","0","96","34.0","","","",""
"39","2022-04-27-21-17-41","0","96","34.0","","","",""
"40","2022-04-27-21-17-41","0","96","34.0","","","",""
"41","2022-04-27-21-17-41","0","96","34.0","","","",""
"42","2022-04-27-21-17-41","0","97","34.0","","","",""
"43","2022-04-27-21-17-41","0","97","34.0","","","",""
"44","2022-04-27-21-17-41","0","97","34.0","","","",""
"45","2022-04-27-21-17-41","0","97","34.0","","","",""
"46","2022-04-27-21-17-41","0","97","34.0","","","",""
"47","2022-04-27-21-17-41","0","97","34.0","","","",""
"48","2022-04-27-21-17-41","0","97","33.0","","","",""
"49","2022-04-27-21-17-41","0","98","33.0","","","",""
"50","2022-04-27-21-17-41","0","98","33.0","","","",""
"51","2022-04-27-21-17-41","0","98","33.0","","","",""
"52","2022-04-27-21-17-41","0","98","33.0","","","",""
"53","2022-04-27-21-17-41","0","98","33.0","","","",""
"54","2022-04-27-21-17-41","0","98","33.0","","","",""
"55","2022-04-27-21-17-41","0","99","33.0","","","",""
"56","2022-04-27-21-17-41","0","99","33.0","","","",""
"57","2022-04-27-21-17-41","0","100","33.0","","","",""
"58","2022-04-27-21-17-41","0","100","33.0","","","",""
"59","2022-04-27-21-17-41","0","100","33.0","","","",""
"60","2022-04-27-21-17-41","0","100","33.0","","","",""
